,Date,"Price($,mean)",High,Low,Daily_diff($),Change%,Vol.
0,2017-11-09,1.99,2.2,1.9,0.30000000000000027,0.0,283.35K
1,2017-11-10,1.71,2.02,1.6,0.41999999999999993,-14.07,483.23K
2,2017-11-11,1.66,1.93,1.58,0.34999999999999987,-2.92,256.71K
3,2017-11-12,1.49,1.7,1.34,0.3599999999999999,-10.24,456.48K
4,2017-11-13,1.68,1.74,1.49,0.25,12.75,166.01K
5,2017-11-14,1.59,1.74,1.53,0.20999999999999996,-5.36,173.13K
6,2017-11-15,1.55,1.68,1.49,0.18999999999999995,-2.52,291.61K
7,2017-11-16,1.56,1.67,1.51,0.15999999999999992,0.65,193.73K
8,2017-11-17,1.5,1.58,1.49,0.09000000000000008,-3.85,419.40K
9,2017-11-18,1.67,1.67,1.49,0.17999999999999994,11.33,168.62K
10,2017-11-19,1.6,1.69,1.58,0.10999999999999988,-4.19,172.57K
11,2017-11-20,1.64,1.65,1.56,0.08999999999999986,2.5,158.70K
12,2017-11-21,1.59,1.64,1.54,0.09999999999999987,-3.05,404.20K
13,2017-11-22,1.62,1.62,1.56,0.06000000000000005,1.89,179.15K
14,2017-11-23,1.57,1.62,1.54,0.08000000000000007,-3.09,178.86K
15,2017-11-24,1.73,1.82,1.54,0.28,10.19,631.81K
16,2017-11-25,1.87,1.96,1.68,0.28,8.09,462.64K
17,2017-11-26,1.84,1.91,1.76,0.1499999999999999,-1.6,192.60K
18,2017-11-27,1.95,1.95,1.74,0.20999999999999996,5.98,472.12K
19,2017-11-28,1.92,1.95,1.8,0.1499999999999999,-1.54,357.69K
20,2017-11-29,1.76,2.05,1.55,0.4999999999999998,-8.33,901.09K
21,2017-11-30,1.95,2.04,1.71,0.33000000000000007,10.8,736.32K
22,2017-12-01,2.05,2.14,1.88,0.26000000000000023,5.13,308.39K
23,2017-12-02,2.08,2.12,1.98,0.14000000000000012,1.46,240.59K
24,2017-12-03,2.26,2.4,2.04,0.3599999999999999,8.65,341.64K
25,2017-12-04,2.55,2.59,2.26,0.33000000000000007,12.83,369.61K
26,2017-12-05,2.61,2.75,2.5,0.25,2.35,418.31K
27,2017-12-06,2.51,2.8,2.33,0.46999999999999975,-3.83,369.57K
28,2017-12-07,2.66,2.84,2.4,0.43999999999999995,5.98,520.77K
29,2017-12-08,2.79,2.8,2.21,0.5899999999999999,4.89,641.80K
30,2017-12-09,2.65,2.81,2.18,0.6299999999999999,-5.02,470.09K
31,2017-12-10,2.46,2.66,2.13,0.5300000000000002,-7.17,548.97K
32,2017-12-11,2.69,2.78,2.45,0.3299999999999996,9.35,378.45K
33,2017-12-12,2.55,2.74,2.45,0.29000000000000004,-5.2,534.10K
34,2017-12-13,2.72,2.74,2.27,0.4700000000000002,6.67,669.43K
35,2017-12-14,3.15,3.15,2.63,0.52,15.81,871.68K
36,2017-12-15,4.12,4.4,2.99,1.4100000000000001,30.79,896.22K
37,2017-12-16,4.64,4.72,3.82,0.8999999999999999,12.62,767.29K
38,2017-12-17,6.0,6.7,4.6,2.1000000000000005,29.31,1.52M
39,2017-12-18,6.0,6.1,4.75,1.3499999999999996,0.0,1.41M
40,2017-12-19,5.7,6.46,5.27,1.1900000000000004,-5.0,1.74M
